CustomerID,Gender,Age,Annual Income (k$),Spending Score (1-100)
1,Male,19,15,39
2,Female,21,15,81
3,Female,20,16,6
4,Male,23,16,77
5,Male,31,17,40
6,Female,22,17,76
7,Male,35,18,6
8,Female,23,18,94
9,Male,64,19,3
10,Male,30,19,72
11,Female,67,20,14
12,Female,35,20,99
13,Female,58,20,15
14,Female,24,21,77
15,Female,37,21,13
16,Female,22,23,79
17,Female,35,24,35
18,Male,20,25,66
19,Female,52,28,29
20,Male,35,28,98
21,Female,35,28,35
22,Male,25,29,73
23,Male,46,30,13
24,Female,31,30,73
25,Female,54,30,14
26,Female,29,30,80
27,Male,45,30,9
28,Female,35,30,77
29,Female,40,31,31
30,Male,23,31,77
31,Male,60,31,22
32,Male,21,31,88
33,Male,53,31,17
34,Female,18,31,74
35,Female,49,31,18
36,Male,21,33,76
37,Female,42,33,6
38,Female,30,33,89
39,Male,36,33,29
40,Female,20,33,83
41,Male,65,37,63
42,Female,24,37,82
43,Female,48,38,47
44,Male,31,38,73
45,Male,49,39,14
46,Female,24,39,72
47,Male,50,39,7
48,Female,27,39,81
49,Female,29,40,40
50,Female,31,40,90
51,Female,49,40,14
52,Male,33,40,73
53,Male,31,40,4
54,Male,59,42,77
55,Male,50,42,35
56,Male,47,43,82
57,Female,51,43,32
58,Male,69,43,80
59,Female,27,44,9
60,Female,53,44,74
61,Female,70,46,54
62,Female,19,46,91
63,Male,67,46,67
64,Female,19,46,83
65,Male,66,46,53
66,Male,23,47,89
67,Female,46,47,42
68,Male,27,48,90
69,Male,63,48,47
70,Male,24,48,73
71,Female,50,49,48
72,Male,28,49,90
73,Male,45,50,31
74,Male,27,50,84
75,Female,49,50,40
76,Male,23,50,91
77,Male,48,51,31
78,Male,40,54,84
79,Female,60,54,23
80,Female,36,54,78
81,Female,34,54,43
82,Male,33,54,83
83,Male,50,54,29
84,Female,42,54,62
85,Female,57,54,41
86,Female,23,54,86
87,Male,48,57,32
88,Male,40,58,94
89,Female,65,58,36
90,Female,23,59,54
91,Male,54,60,46
92,Female,38,60,75
93,Female,47,60,48
94,Male,30,60,45
95,Female,60,60,26
96,Male,23,61,58
97,Male,46,61,29
98,Female,36,62,73
99,Female,58,62,35
100,Male,30,62,72
101,Female,66,62,20
102,Male,34,62,73
103,Female,50,62,31
104,Male,34,63,72
105,Female,66,63,34
106,Female,21,63,56
107,Female,55,63,18
108,Female,47,64,85
109,Male,62,64,34
110,Female,38,65,76
111,Male,68,65,50
112,Female,27,65,73
113,Female,53,67,37
114,Male,30,67,81
115,Female,52,69,27
116,Female,30,70,79
117,Male,55,70,40
118,Male,24,70,74
119,Male,46,71,36
120,Male,32,71,77
121,Male,56,71,37
122,Female,32,71,58
123,Female,60,71,46
124,Male,32,72,60
125,Female,60,72,40
126,Female,23,72,56
127,Male,53,72,28
128,Female,46,73,67
129,Female,43,73,40
130,Female,32,74,73
131,Female,42,75,50
132,Female,34,76,68
133,Male,62,76,42
134,Female,21,77,70
135,Female,59,77,38
136,Male,19,77,79
137,Female,62,78,35
138,Male,22,78,83
139,Male,60,78,20
140,Male,23,78,90
141,Female,38,79,31
142,Male,22,79,83
143,Male,37,79,45
144,Male,22,80,75
145,Female,57,81,22
146,Female,22,85,74
147,Male,40,86,25
148,Male,25,87,73
149,Female,45,87,31
150,Male,23,87,79
151,Female,28,88,33
152,Male,29,88,83
153,Female,50,88,31
154,Male,28,93,80
155,Male,66,97,28
156,Female,28,98,80
157,Male,53,99,45
158,Female,34,99,62
159,Female,39,101,24
160,Female,28,101,67
161,Female,33,25,46
162,Female,50,25,75
163,Male,28,26,41
164,Male,56,26,77
165,Male,27,27,36
166,Female,44,27,73
167,Male,30,28,40
168,Male,39,28,89
169,Male,39,29,26
170,Male,44,30,59
171,Male,45,30,48
172,Male,35,31,77
173,Female,40,31,35
174,Female,58,32,80
175,Female,32,32,14
176,Male,45,33,90
177,Female,66,33,21
178,Male,36,34,86
179,Female,51,35,44
180,Female,39,35,83
181,Female,45,36,50
182,Male,39,36,80
183,Male,26,37,44
184,Female,50,38,83
185,Male,42,39,28
186,Male,55,40,76
187,Male,38,41,16
188,Male,39,42,83
189,Male,47,43,20
190,Male,40,44,84
191,Female,33,45,25
192,Female,47,46,79
193,Female,38,47,49
194,Male,49,48,61
195,Female,26,49,38
196,Male,55,50,89
197,Male,48,51,19
198,Male,30,52,82
199,Male,37,53,29
200,Female,24,54,68
